ID      Mass  Food Day
A_1  48.07613    A   1
A_2  49.41495    A   1
A_3  50.51758    A   1
A_4  47.69574    A   1
B_1  50.39157    B   1
B_2  50.06025    B   1
B_3  50.17084    B   1
B_4  52.23322    B   1
A_1  53.37934    A   3
A_3  68.64250    A   3
A_4  51.84347    A   3
B_1  75.18295    B   3
B_2  75.75327    B   3
B_3  78.80812    B   3
B_4  77.09781    B   3
A_1  60.71124    A   5
A_2  73.35939    A   5
A_4  70.48266    A   5
B_1 115.25176    B   5
B_2 107.41459    B   5
B_4 121.33904    B   5
